pais,causa,metrica,sexo,edad,anio,valor,limite_superior,limite_inferior
Argentina,Enfermedades que no son contagiosas,Número,Ambos,Todas las edades,1995,8145628.313978466,8945462.502381496,7410132.861727967
Argentina,Enfermedades que no son contagiosas,Tasa,Ambos,Todas las edades,1995,23177.41715508825,25453.25026764333,21084.65226877168
Brasil,Enfermedades que no son contagiosas,Número,Ambos,Todas las edades,1995,31272621.09497524,35062246.79279434,27870799.126478795
Brasil,Enfermedades que no son contagiosas,Tasa,Ambos,Todas las edades,1995,19333.021499405408,21675.802901326577,17229.98392368206
Uruguay,Enfermedades que no son contagiosas,Número,Ambos,Todas las edades,1995,868868.23705225,948271.3727178968,797102.853708422
Uruguay,Enfermedades que no son contagiosas,Tasa,Ambos,Todas las edades,1995,26753.949010381715,29198.908271489297,24544.16929371816
Bolivia,Enfermedades que no son contagiosas,Número,Ambos,Todas las edades,1995,1424959.7023276566,1598953.3502818611,1271837.2884573955
Bolivia,Enfermedades que no son contagiosas,Tasa,Ambos,Todas las edades,1995,19581.95503728972,21972.995138597675,17477.72976080591
Venezuela,Enfermedades que no son contagiosas,Número,Ambos,Todas las edades,1995,3366050.080830233,3800172.179657113,2980166.3869840726
Venezuela,Enfermedades que no son contagiosas,Tasa,Ambos,Todas las edades,1995,15944.118380552834,18000.443737899437,14116.286010842316
México,Enfermedades que no son contagiosas,Número,Ambos,Todas las edades,1995,15660168.365667516,17641789.926497724,13935642.453706112
México,Enfermedades que no son contagiosas,Tasa,Ambos,Todas las edades,1995,16535.385178735774,18627.755772825392,14714.478816866222
Ecuador,Enfermedades que no son contagiosas,Número,Ambos,Todas las edades,1996,1873856.35765027,2098119.6230579684,1666308.4591311754
Ecuador,Enfermedades que no son contagiosas,Tasa,Ambos,Todas las edades,1996,16178.45109478094,18114.6893005226,14386.529578327978
Argentina,Enfermedades que no son contagiosas,Número,Ambos,Todas las edades,1996,8185326.64701175,8995415.716008449,7454470.128985736
Argentina,Enfermedades que no son contagiosas,Tasa,Ambos,Todas las edades,1996,23054.25070329373,25335.89409934143,20995.768480002203
Venezuela,Enfermedades que no son contagiosas,Número,Ambos,Todas las edades,1996,3431592.0606489195,3872300.535716462,3023797.9232163588
